sample_name,PC1_sign_together,Experiment,r1,r2,Parasitism_PCR_result,Parasitism,Location,Attack,Exposure
IALM_Ex_2,positive,Exposure,data1,data2,Undetected,Undetected,Dunedin,ANO,Exposed
IALM_Ex_4,negative,Exposure,data1,data2,Undetected,Undetected,Dunedin,ANO,Exposed
IALM_Ex_5,positive,Exposure,data1,data2,Undetected,Undetected,Dunedin,ANO,Exposed
IALM_Ex_6,positive,Exposure,data1,data2,Undetected,Undetected,Dunedin,ANO,Exposed
IALM_Ex_8,negative,Exposure,data1,data2,Undetected,Undetected,Dunedin,ANO,Exposed
IALM_Ex_9,negative,Exposure,data1,data2,Undetected,Undetected,Dunedin,ANO,Exposed
IALM_NC_2,negative,Exposure,data1,data2,Undetected,Undetected,Dunedin,ANO,NC
IALM_NC_4,negative,Exposure,data1,data2,Undetected,Undetected,Dunedin,ANO,NC
IALM_NC_5,positive,Exposure,data1,data2,Undetected,Undetected,Dunedin,ANO,NC
IALM_NC_6,positive,Exposure,data1,data2,Undetected,Undetected,Dunedin,ANO,NC
IALM_NC_7,negative,Exposure,data1,data2,Undetected,Undetected,Dunedin,ANO,NC
IALM_NC_8,negative,Exposure,data1,data2,Undetected,Undetected,Dunedin,ANO,NC
RALM_Ex_2,positive,Exposure,data1,data2,Undetected,Undetected,Ruakura,ANO,Exposed
RALM_Ex_5,positive,Exposure,data1,data2,Undetected,Undetected,Ruakura,ANO,Exposed
RALM_Ex_6,negative,Exposure,data1,data2,Undetected,Undetected,Ruakura,ANO,Exposed
RALM_Ex_7,positive,Exposure,data1,data2,Undetected,Undetected,Ruakura,ANO,Exposed
RALM_Ex_8,positive,Exposure,data1,data2,Undetected,Undetected,Ruakura,ANO,Exposed
RALM_Ex_9,positive,Exposure,data1,data2,Undetected,Undetected,Ruakura,ANO,Exposed
RALM_NC_2,positive,Exposure,data1,data2,Undetected,Undetected,Ruakura,ANO,NC
RALM_NC_3,positive,Exposure,data1,data2,Undetected,Undetected,Ruakura,ANO,NC
RALM_NC_4,negative,Exposure,data1,data2,Undetected,Undetected,Ruakura,ANO,NC
RALM_NC_5,negative,Exposure,data1,data2,Undetected,Undetected,Ruakura,ANO,NC
RALM_NC_6,negative,Exposure,data1,data2,Undetected,Undetected,Ruakura,ANO,NC
RALM_NC_7,positive,Exposure,data1,data2,Undetected,Undetected,Ruakura,ANO,NC
DY1,positive,Evasion,data1,data2,Detected,Parasitised,Dunedin,SA,NA
RY1,positive,Evasion,data1,data2,Undetected,Undetected,Ruakura,ANO,NA
DN1,negative,Evasion,data1,data2,Detected,Parasitised,Dunedin,SA,NA
RN1,positive,Evasion,data1,data2,Detected,Parasitised,Ruakura,SA,NA
DY2C,positive,Evasion,data1,data2,Undetected,Undetected,Dunedin,ANO,NA
RY2,positive,Evasion,data1,data2,Undetected,Undetected,Ruakura,ANO,NA
DN2C,positive,Evasion,data1,data2,Detected,Parasitised,Dunedin,SA,NA
RN2C,positive,Evasion,data1,data2,Undetected,Undetected,Ruakura,IA,NA
DY3,positive,Evasion,data1,data2,Fail,Undetected,Dunedin,ANO,NA
RY3,negative,Evasion,data1,data2,Undetected,Undetected,Ruakura,ANO,NA
DN3,negative,Evasion,data1,data2,Undetected,Undetected,Dunedin,IA,NA
RN3,positive,Evasion,data1,data2,Undetected,Undetected,Ruakura,IA,NA
DY4,positive,Evasion,data1,data2,Detected,Parasitised,Dunedin,SA,NA
DN4,negative,Evasion,data1,data2,Detected,Parasitised,Dunedin,SA,NA
RN4C,positive,Evasion,data1,data2,Undetected,Undetected,Ruakura,IA,NA
DY5,negative,Evasion,data1,data2,Detected,Parasitised,Dunedin,SA,NA
RY5,positive,Evasion,data1,data2,Undetected,Undetected,Ruakura,ANO,NA
DN5C,negative,Evasion,data1,data2,Detected,Parasitised,Dunedin,SA,NA
RN5C,positive,Evasion,data1,data2,Undetected,Undetected,Ruakura,IA,NA
DY6,positive,Evasion,data1,data2,Fail,Undetected,Dunedin,ANO,NA
DN6,positive,Evasion,data1,data2,Undetected,Undetected,Dunedin,IA,NA
RN6C,positive,Evasion,data1,data2,Undetected,Undetected,Ruakura,IA,NA
DY7C,positive,Evasion,data1,data2,Undetected,Undetected,Dunedin,ANO,NA
RY7,positive,Evasion,data1,data2,Undetected,Undetected,Ruakura,ANO,NA
DN7,positive,Evasion,data1,data2,Detected,Parasitised,Dunedin,SA,NA
RN7,negative,Evasion,data1,data2,Fail,Undetected,Ruakura,IA,NA
DY8,positive,Evasion,data1,data2,Detected,Parasitised,Dunedin,SA,NA
RY8C,positive,Evasion,data1,data2,Undetected,Undetected,Ruakura,ANO,NA
DN8C,negative,Evasion,data1,data2,Undetected,Undetected,Dunedin,IA,NA
RN8,negative,Evasion,data1,data2,Detected,Parasitised,Ruakura,SA,NA
RY9,negative,Evasion,data1,data2,Undetected,Undetected,Ruakura,ANO,NA
DN9,negative,Evasion,data1,data2,Detected,Parasitised,Dunedin,SA,NA
RN9,negative,Evasion,data1,data2,Undetected,Undetected,Ruakura,IA,NA
DY10,positive,Evasion,data1,data2,Fail,Undetected,Dunedin,ANO,NA
RY10C,positive,Evasion,data1,data2,Undetected,Undetected,Ruakura,ANO,NA
DN10C,negative,Evasion,data1,data2,Detected,Parasitised,Dunedin,SA,NA
RN10,positive,Evasion,data1,data2,Undetected,Undetected,Ruakura,IA,NA
RY11,negative,Evasion,data1,data2,Undetected,Undetected,Ruakura,ANO,NA
DN11,negative,Evasion,data1,data2,Fail,Undetected,Dunedin,IA,NA
RN11C,positive,Evasion,data1,data2,Fail,Undetected,Ruakura,IA,NA
DY12C,positive,Evasion,data1,data2,Fail,Parasitised,Dunedin,SA,NA
RY12C,positive,Evasion,data1,data2,Fail,Undetected,Ruakura,ANO,NA
DN12,negative,Evasion,data1,data2,Fail,Undetected,Dunedin,IA,NA
RN12,positive,Evasion,data1,data2,Detected,Parasitised,Ruakura,SA,NA
DY13C,negative,Evasion,data1,data2,Fail,Undetected,Dunedin,ANO,NA
RY13C,negative,Evasion,data1,data2,Fail,Undetected,Ruakura,ANO,NA
DN13C,negative,Evasion,data1,data2,Fail,Undetected,Dunedin,IA,NA
RN13,negative,Evasion,data1,data2,Undetected,Undetected,Ruakura,IA,NA
DY14,negative,Evasion,data1,data2,Undetected,Undetected,Dunedin,ANO,NA
RY14C,negative,Evasion,data1,data2,Fail,Undetected,Ruakura,ANO,NA
DN14,positive,Evasion,data1,data2,Detected,Parasitised,Dunedin,SA,NA
RN14,negative,Evasion,data1,data2,Undetected,Undetected,Ruakura,IA,NA
DY15C,negative,Evasion,data1,data2,Detected,Parasitised,Dunedin,SA,NA
RY15,negative,Evasion,data1,data2,Undetected,Undetected,Ruakura,ANO,NA
DN15,negative,Evasion,data1,data2,Fail,Undetected,Dunedin,IA,NA
RN15,positive,Evasion,data1,data2,Undetected,Undetected,Ruakura,IA,NA
DY16,negative,Evasion,data1,data2,Detected,Parasitised,Dunedin,SA,NA
RY16,positive,Evasion,data1,data2,Undetected,Undetected,Ruakura,ANO,NA
DN16,negative,Evasion,data1,data2,Undetected,Undetected,Dunedin,IA,NA
RN16,negative,Evasion,data1,data2,Undetected,Undetected,Ruakura,IA,NA
DY20,negative,Evasion,data1,data2,Undetected,Undetected,Dunedin,ANO,NA
RY20,positive,Evasion,data1,data2,Undetected,Undetected,Ruakura,ANO,NA
DN20C,negative,Evasion,data1,data2,Fail,Undetected,Dunedin,IA,NA
RN20,negative,Evasion,data1,data2,Detected,Parasitised,Ruakura,SA,NA
DY21C,positive,Evasion,data1,data2,Fail,Undetected,Dunedin,ANO,NA
RY21,positive,Evasion,data1,data2,Undetected,Undetected,Ruakura,ANO,NA
DN21,positive,Evasion,data1,data2,Undetected,Undetected,Dunedin,IA,NA
RN21,negative,Evasion,data1,data2,Undetected,Undetected,Ruakura,IA,NA
DY22,negative,Evasion,data1,data2,Undetected,Undetected,Dunedin,ANO,NA
RY22C,positive,Evasion,data1,data2,Fail,Undetected,Ruakura,ANO,NA
DN22,positive,Evasion,data1,data2,Fail,Undetected,Dunedin,IA,NA
RN22,negative,Evasion,data1,data2,Undetected,Undetected,Ruakura,IA,NA
DY25,positive,Evasion,data1,data2,Detected,Parasitised,Dunedin,SA,NA
RY25,positive,Evasion,data1,data2,Undetected,Undetected,Ruakura,ANO,NA
DN25C,positive,Evasion,data1,data2,Fail,Parasitised,Dunedin,SA,NA
RN25C,positive,Evasion,data1,data2,Undetected,Undetected,Ruakura,IA,NA
DY26,positive,Evasion,data1,data2,Undetected,Undetected,Dunedin,ANO,NA
DN26,negative,Evasion,data1,data2,Undetected,Undetected,Dunedin,IA,NA
DY27,negative,Evasion,data1,data2,Fail,Undetected,Dunedin,ANO,NA